epoch,train_continent_loss,val_continent_loss,train_cities_loss,val_cities_loss,train_xyz_loss,val_xyz_loss,val_loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,config,time_since_restore,iterations_since_restore,experiment_tag,accuracy_continent,precision_continent,recall_continent,f1_continent
,,,,,,,0.7381698687871298,1747896589,,True,32,973fb_00010,2025-05-22_08-49-49,0.2058417797088623,26.57611107826233,1160973,cg14,10.21.0.219,"{'lr': 0.00021522562831336817, 'optimizer': 'adam', 'momentum': 0.9650370308227463, 'weight_decay': 0.00011134793500788045, 'layer_size': 768, 'initial_dropout_rate': 0.06277172669545206, 'max_dropout_rate': 0.614830505665787, 'batch_size': 256, 'epochs': 200, 'lr_patience': 5, 'lr_factor': 0.2401885095330445}",26.57611107826233,32,"10_batch_size=256,initial_dropout_rate=0.0628,layer_size=768,lr=0.0002,lr_factor=0.2402,lr_patience=5,max_dropout_rate=0.6148,momentum=0.9650,optimizer=adam,weight_decay=0.0001",78.50122850122851,0.8210634082155343,0.785012285012285,0.7929406591446938
10.0,1.7772039916457198,1.7776151157560802,0.0,0.0,0.0,0.0,1.7776151157560802,1747896600,,True,10,973fb_00011,2025-05-22_08-50-00,0.5498764514923096,17.04453158378601,1161150,cg14,10.21.0.219,"{'lr': 1.1300666807807516e-05, 'optimizer': 'adam', 'momentum': 0.8848879730733463, 'weight_decay': 2.242907636089475e-06, 'layer_size': 480, 'initial_dropout_rate': 0.3287987662115515, 'max_dropout_rate': 0.5813612453006428, 'batch_size': 32, 'epochs': 200, 'lr_patience': 9, 'lr_factor': 0.32947904004439577}",17.04453158378601,10,"11_batch_size=32,initial_dropout_rate=0.3288,layer_size=480,lr=0.0000,lr_factor=0.3295,lr_patience=9,max_dropout_rate=0.5814,momentum=0.8849,optimizer=adam,weight_decay=0.0000",,,,
20.0,0.810852744362571,0.887224555015564,0.0,0.0,0.0,0.0,0.887224555015564,1747896621,,True,20,973fb_00012,2025-05-22_08-50-21,1.143322467803955,21.221279621124268,1161307,cg14,10.21.0.219,"{'lr': 0.00018630671061143118, 'optimizer': 'adam', 'momentum': 0.9699925367745308, 'weight_decay': 1.207050294643963e-06, 'layer_size': 768, 'initial_dropout_rate': 0.3875188709126701, 'max_dropout_rate': 0.6228098657762733, 'batch_size': 256, 'epochs': 200, 'lr_patience': 3, 'lr_factor': 0.41241708414013767}",21.221279621124268,20,"12_batch_size=256,initial_dropout_rate=0.3875,layer_size=768,lr=0.0002,lr_factor=0.4124,lr_patience=3,max_dropout_rate=0.6228,momentum=0.9700,optimizer=adam,weight_decay=0.0000",,,,
,,,,,,,0.877433683900606,1747896625,,True,12,973fb_00013,2025-05-22_08-50-25,2.0708518028259277,25.41754412651062,1161444,cg14,10.21.0.219,"{'lr': 0.00849791068527312, 'optimizer': 'adamw', 'momentum': 0.8980509944278049, 'weight_decay': 1.8513456674165925e-06, 'layer_size': 928, 'initial_dropout_rate': 0.16178818116173171, 'max_dropout_rate': 0.6864840549138165, 'batch_size': 32, 'epochs': 200, 'lr_patience': 7, 'lr_factor': 0.32694710954136885}",25.41754412651062,12,"13_batch_size=32,initial_dropout_rate=0.1618,layer_size=928,lr=0.0085,lr_factor=0.3269,lr_patience=7,max_dropout_rate=0.6865,momentum=0.8981,optimizer=adamw,weight_decay=0.0000",77.64127764127764,0.8289172627724762,0.7764127764127764,0.7920667157801712
10.0,1.906912434391859,1.8665205565365879,0.0,0.0,0.0,0.0,1.8665205565365879,1747896617,,True,10,973fb_00014,2025-05-22_08-50-17,0.7779648303985596,16.984374523162842,1161573,cg14,10.21.0.219,"{'lr': 1.2531504995008667e-05, 'optimizer': 'adamw', 'momentum': 0.978793080046861, 'weight_decay': 0.00014533596818960533, 'layer_size': 416, 'initial_dropout_rate': 0.31433497081481804, 'max_dropout_rate': 0.6869889589135875, 'batch_size': 64, 'epochs': 200, 'lr_patience': 6, 'lr_factor': 0.30367812324127486}",16.984374523162842,10,"14_batch_size=64,initial_dropout_rate=0.3143,layer_size=416,lr=0.0000,lr_factor=0.3037,lr_patience=6,max_dropout_rate=0.6870,momentum=0.9788,optimizer=adamw,weight_decay=0.0001",,,,
,,,,,,,0.836649323051626,1747896638,,True,14,973fb_00015,2025-05-22_08-50-38,0.9651038646697998,22.043468713760376,1161758,cg14,10.21.0.219,"{'lr': 0.0017972132060319814, 'optimizer': 'adamw', 'momentum': 0.9119449729657886, 'weight_decay': 1.3107753588478986e-05, 'layer_size': 768, 'initial_dropout_rate': 0.21103427925459406, 'max_dropout_rate': 0.6858782058532572, 'batch_size': 64, 'epochs': 200, 'lr_patience': 6, 'lr_factor': 0.14360862958160336}",22.043468713760376,14,"15_batch_size=64,initial_dropout_rate=0.2110,layer_size=768,lr=0.0018,lr_factor=0.1436,lr_patience=6,max_dropout_rate=0.6859,momentum=0.9119,optimizer=adamw,weight_decay=0.0000",79.97542997542998,0.8350360362307482,0.7997542997542998,0.811747827422884
10.0,1.7610314976085315,1.7804340918858845,0.0,0.0,0.0,0.0,1.7804340918858845,1747896642,,True,10,973fb_00016,2025-05-22_08-50-42,0.9404358863830566,19.221000909805298,1161926,cg14,10.21.0.219,"{'lr': 3.348597101304811e-05, 'optimizer': 'adam', 'momentum': 0.8724002134387524, 'weight_decay': 0.00048526653970663776, 'layer_size': 448, 'initial_dropout_rate': 0.2981713865513117, 'max_dropout_rate': 0.6171001836910726, 'batch_size': 256, 'epochs': 200, 'lr_patience': 6, 'lr_factor': 0.2025028496828284}",19.221000909805298,10,"16_batch_size=256,initial_dropout_rate=0.2982,layer_size=448,lr=0.0000,lr_factor=0.2025,lr_patience=6,max_dropout_rate=0.6171,momentum=0.8724,optimizer=adam,weight_decay=0.0005",,,,
10.0,1.9359752026999868,1.9294398806311868,0.0,0.0,0.0,0.0,1.9294398806311868,1747896664,,True,10,973fb_00017,2025-05-22_08-51-04,1.2000043392181396,15.273493528366089,1162110,cg14,10.21.0.219,"{'lr': 1.2071445899666e-05, 'optimizer': 'sgd', 'momentum': 0.8758391527118357, 'weight_decay': 2.167918436313003e-06, 'layer_size': 640, 'initial_dropout_rate': 0.22155675579080802, 'max_dropout_rate': 0.5776833922845577, 'batch_size': 64, 'epochs': 200, 'lr_patience': 8, 'lr_factor': 0.20194841665146857}",15.273493528366089,10,"17_batch_size=64,initial_dropout_rate=0.2216,layer_size=640,lr=0.0000,lr_factor=0.2019,lr_patience=8,max_dropout_rate=0.5777,momentum=0.8758,optimizer=sgd,weight_decay=0.0000",,,,
,,,,,,,1.9561758041381836,1747896662,,True,10,973fb_00018,2025-05-22_08-51-02,0.7063195705413818,13.459703922271729,1162245,cg14,10.21.0.219,"{'lr': 1.9801173205778956e-05, 'optimizer': 'sgd', 'momentum': 0.8573572288382938, 'weight_decay': 2.0395237059354592e-05, 'layer_size': 224, 'initial_dropout_rate': 0.48023375937299306, 'max_dropout_rate': 0.6337129518018157, 'batch_size': 256, 'epochs': 200, 'lr_patience': 9, 'lr_factor': 0.4897647953769194}",13.459703922271729,10,"18_batch_size=256,initial_dropout_rate=0.4802,layer_size=224,lr=0.0000,lr_factor=0.4898,lr_patience=9,max_dropout_rate=0.6337,momentum=0.8574,optimizer=sgd,weight_decay=0.0000",14.987714987714988,0.24915489789937595,0.14987714987714987,0.1664591200747115
10.0,1.6312659179292075,1.6144593783787318,0.0,0.0,0.0,0.0,1.6144593783787318,1747896670,,True,10,973fb_00019,2025-05-22_08-51-10,0.7108242511749268,20.783827543258667,1162376,cg14,10.21.0.219,"{'lr': 2.6452863046626647e-05, 'optimizer': 'adam', 'momentum': 0.9350908523211995, 'weight_decay': 3.005677217264583e-05, 'layer_size': 576, 'initial_dropout_rate': 0.414042637699534, 'max_dropout_rate': 0.6611602647638527, 'batch_size': 32, 'epochs': 200, 'lr_patience': 8, 'lr_factor': 0.3624721205770529}",20.783827543258667,10,"19_batch_size=32,initial_dropout_rate=0.4140,layer_size=576,lr=0.0000,lr_factor=0.3625,lr_patience=8,max_dropout_rate=0.6612,momentum=0.9351,optimizer=adam,weight_decay=0.0000",,,,
